url,type,longitud_url,longitud_hostname,longitud_de_ruta,longitud_de_consulta,contiene_https,contiene_ip,contiene_php,contiene_html,contiene_doble_barras,profundidad_de_la_ruta,acortadores_de_url,num_digitos,num_caracteres_especiales,dom_dias_activo,dom_dias_hasta_expiracion,entropia
http://www.osn-solutions.nl/index.php/nl/over-osn,defacement,49,20,22,0,0,0,1,0,0,3,0,0,8,0,-1,4.012597732604639
http://msb.jcw.mybluehost.me/web.html,phishing,37,21,9,0,0,0,0,1,0,1,0,0,5,2803,118,3.884600662692359
https://sites.google.com/view/qwzxvcax/home,phishing,43,16,19,0,1,0,0,0,0,3,0,0,5,9764,1557,4.144417883102941
https://pub-fc6dc735ff68445cae5ca2d946a8bfbb.r2.dev/link.html,phishing,61,43,10,0,1,0,0,1,0,1,0,16,5,655,440,4.716981599574234
https://tinyurl.com/4vz6vmm2/a.html?syl=1x165b298931062a_vl_inbox.imu2515oy1h-0pps70e.3a4og66.JOWlYUMTVveTFoLTBwcHM3MGU0g2s3U,phishing,125,11,16,89,1,0,0,1,0,2,1,32,11,8169,1692,5.429292517937856
http://172.39.76.152:38302/Mozi.m,malware,33,13,7,0,0,1,0,0,0,1,0,15,6,0,-1,4.12728313431329
http://www.timken.com,benign,21,14,0,0,0,0,0,0,0,0,0,0,2,10953,3290,3.653756708287002
http://synaptixcommunications.com/index.php?%2FCapabilities%2Fnewsletters-articles-brochures.html,defacement,97,26,10,53,0,0,1,0,0,1,0,2,8,6102,107,4.51970015328134
http://167.99.56.99/SBIDIOT/zte,malware,31,12,12,0,0,1,0,0,0,2,0,9,5,0,-1,4.0022680844408445
http://www.pomorskie-lzs.pl/index.php?option=com_content&view=article&id=138:dziewczta-z-szkoy-podstawowej&catid=9&Itemid=1,defacement,123,20,10,85,0,0,1,0,0,1,1,5,19,0,-1,4.723497055583687
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB%E6%95%99%E6%A1%88/,malware,108,9,92,0,0,0,0,0,0,2,0,37,33,5101,12,3.7365569233809968
http://www.karate-kobudo.co.nz/,benign,31,23,1,0,0,0,0,0,0,0,0,0,5,0,-1,4.058246713263735
http://www.phys.tue.nl/epg/,benign,27,15,5,0,0,0,0,0,0,2,0,0,5,13492,-1,3.606015279620732
http://hotlinegsm.com/products/mobile-and-tablet/motorola-atrix-2-detail,malware,72,14,51,0,0,0,0,0,0,3,0,1,9,1574,252,4.223686857422059
http://www.cilfa.asso.fr/english/index.htm,benign,42,17,18,0,0,0,0,0,0,2,0,0,6,0,-1,4.207211767759301
http://51.195.146.201/swrgiuhguhwrguiwetu/arm6,malware,46,14,25,0,0,1,0,0,0,2,0,12,5,0,-1,4.251185325340039
https://gitlab.com/akif65336/evev/-/raw/master/evdekal.apk,malware,58,10,40,0,1,0,0,0,0,6,0,5,9,7450,220,4.36437426266049
https://pub-c4e32884f8d041c3a3626659c22f5f50.r2.dev/space.html,phishing,62,43,11,0,1,0,0,1,0,1,0,24,5,655,440,4.633012391060504
https://apbfiber.com/openme/11320d200d42d3_18d30d11.exe,malware,55,12,35,0,1,0,0,0,0,2,0,17,5,1684,142,4.416021823891917
http://www.123dv.com,benign,20,13,0,0,0,0,0,0,0,0,0,3,2,8591,174,3.784183719779189
http://www.mariamagdalena-bogatynia.pl/index.php?option=com_rsgallery2&page=inline&id=899&Itemid=67,defacement,99,31,10,50,0,0,1,0,0,1,0,6,13,0,-1,4.689433706083118
http://realty-catalog.com/2010-02-26-10-26-49/reference.html,defacement,60,18,35,0,0,0,0,1,0,2,0,14,10,0,-1,4.344413829577611
http://www.wigsat.org/,benign,22,14,1,0,0,0,0,0,0,0,0,0,3,3031,256,3.481714572986073
http://departments.firehouse.com/dept/ypsilanti3mi/,benign,51,25,19,0,0,0,0,0,0,3,0,1,5,9515,345,4.138330617314093
http://www.rebel.net/~futurist/,benign,31,13,11,0,0,0,0,0,0,2,0,0,5,10422,1630,3.821311940104173
https://apbfiber.com/openme/46520d200d42d3_18d30d11.exe,malware,55,12,35,0,1,0,0,0,0,2,0,17,5,1684,142,4.554378923427132
http://www.info-s.com/,benign,22,14,1,0,0,0,0,0,0,0,0,0,4,10195,30,3.7544418457133455
https://docs.google.com/drawings/d/1LG-7bzcKWa3Modqe4dcrblRZOlsZ2D-T5vNzNCo9gpE/edit,phishing,84,15,61,0,1,0,0,0,0,4,0,7,8,9764,1557,5.144769952308865
http://www.ilovespeedbumps.com/guidance-you-must-know-about-automobile-insurance/,malware,81,23,51,0,0,0,0,0,0,2,0,0,10,4576,172,4.386802818953914
http://www.kmga.net/,benign,20,12,1,0,0,0,0,0,0,0,0,0,3,0,-1,3.5086949695628427
http://www.thewrightway.me.uk/the-salon/tanning.html,defacement,52,22,23,0,0,0,0,1,0,2,0,0,7,0,-1,4.077737017994866
